"","lon","lat","Dataset","Loc_ID","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ELONG","ISL_LS","ISL_ST","ISL_DIS","HABITAT","REALM","REALM_PK","DAT_TYPE","Source"
"247",-61.165,7.455,"CoelhodeSouza_Amazon","IMA-02",0.01,59,490,10,28189,12134.3330078125,26,26.7,81,221,38,38,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"248",-72.845,-3.525,"CoelhodeSouza_Amazon","IND-01",0.01,171,591,10,26043,12072.75,26.3,26.8,84,533,20,37,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"249",-73.065,-3.505,"CoelhodeSouza_Amazon","IND-10",0.001,56,89,10,16444,7716.33349609375,26.4,26.9,85,558,17,32,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"250",-69.705,-12.725,"CoelhodeSouza_Amazon","INF-01",0.013,173,912,10,34284,14204.1669921875,25.2,26.1,73,317,48,17,1.3,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"251",-67.035,1.915,"CoelhodeSouza_Amazon","IVC-01",0.001,50,84,10,23924,10735.8330078125,26.2,26.6,92,636,23,29,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"252",-58.775,4.535,"CoelhodeSouza_Amazon","IWO-03",0.01,72,580,10,23212,11685.6669921875,26.8,27.6,80,252,53,27,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"253",-58.725,4.615,"CoelhodeSouza_Amazon","IWO-09",0.01,53,695,10,24002,11552.1669921875,26.7,27.5,79,269,51,37,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"254",-58.715,4.615,"CoelhodeSouza_Amazon","IWO-11",0.01,64,454,10,24281,11671.6669921875,26.8,27.6,79,268,51,30,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"255",-58.715,4.735,"CoelhodeSouza_Amazon","IWO-12",0.01,83,471,10,24151,11733.3330078125,26.8,27.6,79,284,49,57,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"256",-58.745,4.635,"CoelhodeSouza_Amazon","IWO-21",0.01,43,626,10,23560,11497.0830078125,26.7,27.5,79,270,51,27,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"257",-60.205,-2.605,"CoelhodeSouza_Amazon","JAC-01",0.05,194,3565,10,24519,11976.8330078125,27,27.6,82,320,36,55,5,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
